OID_,Enclosure,Greeness,Openness,Population,Facilities
112,0.31832,0.089263,0.010717,0.50513347,0.049532237
113,0.220673,0.205834,0.001627,0.297741273,0.020388486
114,0.215926,0.213084,0.017214,0.27662071,0.028621684
115,0.266071,0.049893,0.016573,0.18539161,0.003097752
116,0.173972,0.24243,0.014376,0.234672925,0.010824372
117,0.183057,0.234217,0,0.39337049,0.03309087
118,0.32829,0.09582,0.057516,0.196245233,0
119,0.268212,0.153115,0.042526,0.244059842,0.004966306
120,0.308215,0.153478,0.020088,0.193898504,0.005012563
121,0.389809,0.052313,0.025576,0.40363743,0
122,0.409474,0.07326,0.018572,0.358462892,0
123,0.264405,0.148534,0.048974,0.281900851,0
124,0.255145,0.131973,0.010057,0.168084482,0.005793575
125,0.240917,0.123338,0.073472,0.326488706,0
126,0.257604,0.117011,0.12496,0.273100616,0.023663189
127,0.318771,0.070694,0.033991,0.283954239,0.012536987
128,0.358116,0.085533,0.026598,0.219712526,0
129,0.272474,0.106536,0.101248,0.486652977,0.067675873
130,0.305101,0.125737,0.041914,0.2537401,0
131,0.316598,0.087223,0.043694,0.193898504,0
132,0.296957,0.067904,0.078319,0.22851276,0
133,0.302826,0.130024,0.032471,0.343795835,0
134,0.202491,0.185642,0.013362,0.23848636,0.004864811
135,0.239456,0.127195,0.037808,0.30214139,0.004667962
136,0.175814,0.131204,0.017131,0.145790554,0.008953713
137,0.251417,0.174429,0.020272,0.330888824,0
138,0.209439,0.252854,0.033467,0.323848636,0.016180535
139,0.253906,0.150289,0.043211,0.347315928,0.00551002
140,0.270282,0.112289,0.026471,0.385450279,0.034110441
141,0.248056,0.169556,0.014836,0.305954825,0.001695498
142,0.329835,0.126273,0.029724,0.184804928,0.008199108
143,0.315447,0.170913,0.030045,0.156350836,0.052926233
144,0.262199,0.100799,0.040674,0.355822822,0.014737883
145,0.247736,0.128984,0.066778,0.397183925,0.075768653
146,0.251222,0.14707,0.028072,0.273980639,0.009417426
147,0.260209,0.07728,0.065313,0.390143737,0.023530281
148,0.235534,0.13405,0.033771,0.330595483,0.008970668
149,0.305488,0.083224,0.034411,0.353476093,0.059909483
150,0.198017,0.434726,0.003246,0.239366383,0.154089367
151,0.177145,0.197029,0.021369,0.312995013,0.005656635
152,0.227199,0.162433,0.037348,0.149017307,0.000910541
153,0.360249,0.103847,0.057805,0.193311822,0
154,0.215303,0.097681,0.051693,0.214432385,0
155,0.248719,0.192078,0.028465,0.201232033,0.006274258
156,0.294442,0.199185,0.013726,0.145497213,0.019042183
157,0.28874,0.115435,0.007137,0.153710766,0.00876034
158,0.227971,0.112358,0.035157,0.214725726,0.017208519
159,0.288173,0.126653,0.008875,0.295981226,0.016011284
160,0.217016,0.179184,0.045825,0.191258434,0.006034517
161,0.24231,0.059471,0.058173,0.131710179,0
162,0.275136,0.148904,0.007549,0.246406571,0.009921393
163,0.300235,0.161196,0.005952,0.26136697,0.00772585
164,0.200427,0.159095,0.046979,0.394250513,0.042744793
165,0.293576,0.12069,0.080055,0.255500147,0.168782936
166,0.148445,0.223013,0.027857,0.322968612,0.001894612
167,0.176622,0.233353,0.01614,0.234672925,0.003630395
168,0.150562,0.201939,0.019737,0.297154591,0
169,0.151831,0.238049,0.018944,0.324435318,0.050770205
170,0.275298,0.146629,0.009826,0.271047228,0.05874203
171,0.186744,0.225,0.041459,0.186858316,0.000638758
172,0.390847,0.156213,0.016731,0.21325902,0.091622872
173,0.174119,0.161917,0.044016,0.309474919,0.014199382
174,0.189573,0.141482,0.045557,0.282487533,0
175,0.198113,0.171856,0.034003,0.448811968,0.143336743
176,0.21546,0.175808,0.024136,0.310354943,0.002329855
177,0.21963,0.176609,0.047833,0.246406571,0.004379497
178,0.177873,0.259499,0.020052,0.263127017,0.056902346
179,0.310447,0.314684,0.029113,0.079202112,0
180,0.194536,0.189432,0.013866,0.326195365,0.026388979
181,0.194297,0.20886,0.049372,0.165737753,0.001359265
182,0.267044,0.155613,0.040519,0.177471399,0.001005408
183,0.236298,0.169556,0.062257,0.163684365,0.000454578
184,0.16844,0.181143,0.065197,0.123203285,0.000568121
185,0.236872,0.125526,0.053418,0.146083896,0.003423148
186,0.285966,0.125986,0.022572,0.071868583,0
187,0.269575,0.083536,0.048907,0.100322675,0.016131087
188,0.264239,0.127959,0.043804,0.183044881,0.0013906
189,0.25696,0.165027,0.042225,0.174537988,0.001348067
190,0.322343,0.106059,0.00117,0.374889997,0
191,0.308292,0.120618,0.004334,0.477559402,0
192,0.343122,0.108129,0.000421,0.439425051,0.059841662
193,0.298439,0.142836,0.006047,0.600762687,0.019704054
194,0.326096,0.137171,0.001389,0.482839542,0.018747401
195,0.334989,0.109094,0.003567,0.375770021,0.022544643
196,0.331875,0.088127,0.002131,0.407157524,0.065050663
197,0.311419,0.115651,0.015271,0.29686125,0.019982388
198,0.282716,0.159024,0.003248,0.58110883,0.075552528
199,0.306638,0.125267,0.008662,0.457612203,0.01554983
200,0.279181,0.132432,0.003513,0.490466412,0.006485747
201,0.378933,0.05552,0.005462,0.409797595,0.260631592
202,0.345626,0.097093,0.005037,0.345555881,0.149728446
203,0.298456,0.130278,0.00143,0.384863596,0.123266564
204,0.364009,0.062675,0.003012,0.345555881,0.150897281
205,0.342102,0.098316,0.002443,0.461718979,0.06447637
206,0.353457,0.086371,0.000028,0.420064535,0.017684589
207,0.508219,0.075829,0.001157,0.452038721,0.092147534
208,0.328147,0.141476,0,0.385450279,0.160216595
209,0.314893,0.096109,0.007237,0.432384864,0.079027175
210,0.332719,0.079531,0.006695,0.548547961,0.028376008
211,0.38306,0.111222,0,0.210032268,0.166384505
212,0.30152,0.162583,0.011448,0.713405691,0.039843013
213,0.322114,0.13789,0.000544,0.408037548,0
214,0.30283,0.174456,0.006409,0.280140804,0.077989351
215,0.454134,0.034059,0.000042,0.310648284,0.075290636
216,0.251232,0.206983,0.001625,0.392197125,0.034422063
217,0.329677,0.1333,0.004663,0.417424465,0
218,0.219606,0.200082,0.018397,0.498973306,0
219,0.332371,0.133732,0.001519,0.492519801,0.011554001
220,0.332601,0.087361,0.002445,0.488706366,0.069802196
221,0.406599,0.094192,0.028701,0.259020241,0
222,0.293124,0.095193,0.006706,0.476972719,0.063851256
223,0.263632,0.137228,0.004296,0.341449105,0.213150056
